,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,DOB,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,Application Status,age,Vehicle Age
0,199000.0,199000.0,60,F,1979-07-14,STREET VENDOR,20000.0,PU,NISSAN,FRONTIER NAVARA,2012,AD,283500,S1,2022-11-14,S1,PL,APPLICATION_COMPLETED,44,11
1,60000.0,58822.04,36,M,1970-01-25,อื่นๆ,14000.0,CAR,TOYOTA,COROLLA ALTIS,2002,AJ,111000,S1,2022-09-06,S1,PL,APPLICATION_COMPLETED,53,21
2,36000.0,35904.37,24,F,1991-05-10,พนักงานบริษัท,15000.0,MC,HONDA,CLICK 150I,2019,BH,48500,S1,2022-12-30,S2,PL,APPLICATION_COMPLETED,32,4
3,30000.0,28813.69,24,F,1986-03-20,เกษตรกร,35000.0,MC,HONDA,PCX 150,2020,ED,76500,S1,2022-11-12,S1,PL,APPLICATION_COMPLETED,37,3
5,111000.0,111000.0,60,M,1962-01-01,เกษตรกร,12645.0,PU,TOYOTA,HILUX TIGER,2003,BE,190000,S1,2022-12-15,S1,PL,APPLICATION_COMPLETED,61,20
6,21000.0,20160.78,36,M,1957-10-24,เกษตรกร,8000.0,MC,HONDA,SCOOPY I,2018,CE,28000,S1,2022-08-18,S1,PL,APPLICATION_COMPLETED,66,5
7,29000.0,28530.66,24,F,1989-04-07,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2016,CK,39000,S1,2022-10-10,S1,PL,APPLICATION_COMPLETED,34,7
8,33000.0,32485.66,36,F,1984-09-16,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 110 I,2020,EG,44000,S1,2022-11-14,S1,PL,APPLICATION_COMPLETED,39,3
9,200000.0,199526.65,60,F,1992-06-16,พนักงานบริษัท,18000.0,CAR,NISSAN,MARCH,2018,AX,322000,S1,2022-10-07,S1,PL,APPLICATION_COMPLETED,31,5
10,18000.0,18000.0,12,M,1965-05-11,พนักงานบริษัท,20000.0,MC,YAMAHA,TTX 115,2012,AJ,10000,S1,2022-12-27,S1,PL,APPLICATION_COMPLETED,58,11
11,10000.0,9907.53,24,M,1974-08-11,ข้าราชการ,15000.0,MC,HONDA,WAVE X,2007,AV,20000,S1,2022-08-18,S1,PL,APPLICATION_COMPLETED,49,16
13,26000.0,25824.05,36,M,1999-04-17,พนักงานบริษัท,15000.0,MC,HONDA,DREAM 110,2013,BJ,40000,S1,2022-11-08,S1,PL,APPLICATION_COMPLETED,24,10
15,30000.0,29200.07,24,F,1976-08-05,อื่นๆ,10000.0,MC,YAMAHA,GRAND FILANO 125,2019,AY,46500,S1,2022-11-10,S1,PL,APPLICATION_COMPLETED,47,4
17,295000.0,295000.0,60,M,1972-12-25,เกษตรกร,21250.0,PU,ISUZU,D-MAX,2011,BR,392500,S1,2022-12-19,S1,PL,APPLICATION_COMPLETED,51,12
18,33000.0,31690.06,24,M,1975-02-13,พนักงานบริษัท,15000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-11-22,S1,PL,APPLICATION_COMPLETED,48,4
19,142000.0,141901.83,60,M,1963-01-20,อื่นๆ,20000.0,PU,TOYOTA,HILUX VIGO,2008,EI,204000,S1,2022-08-22,S1,PL,APPLICATION_COMPLETED,60,15
20,200000.0,198385.72,48,F,1982-10-07,พนักงานบริษัท,15000.0,PU,ISUZU,D-MAX,2013,BR,374500,S1,2022-10-05,S1,PL,APPLICATION_COMPLETED,41,10
22,189000.0,188941.36,60,M,1983-10-16,พนักงานบริษัท,22000.0,CAR,NISSAN,ALMERA,2016,BD,269500,S1,2022-10-16,S1,PL,APPLICATION_COMPLETED,40,7
23,100000.0,100000.0,60,F,1967-06-03,STREET VENDOR,16000.0,CAR,TOYOTA,VIOS,2010,DX,222000,S1,2022-12-28,S1,PL,APPLICATION_COMPLETED,56,13
24,30000.0,28781.93,36,M,1981-05-04,เกษตรกร,18000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,2022-10-28,S1,PL,APPLICATION_COMPLETED,42,5
26,283000.0,283000.0,60,F,1993-07-23,บุคลากรทางการแพทย์,25000.0,PU,ISUZU,D-MAX,2011,AM,353500,S1,2022-10-20,S1,PL,APPLICATION_COMPLETED,30,12
27,26000.0,25006.47,24,M,1977-08-08,พนักงานบริษัท,30000.0,MC,HONDA,SCOOPY I,2019,AM,46000,S1,2022-10-04,S1,PL,APPLICATION_COMPLETED,46,4
28,15000.0,13733.61,18,F,1976-05-03,เกษตรกร,20000.0,MC,HONDA,WAVE 110 I,2010,AG,20000,S1,2022-09-26,S1,PL,APPLICATION_COMPLETED,47,13
30,100000.0,97109.66,48,M,1973-04-03,เกษตรกร,29400.0,PU,TOYOTA,HILUX VIGO,2006,CT,321500,S1,2022-12-17,S1,PL,APPLICATION_COMPLETED,50,17
31,15400.0,14994.38,36,F,1981-09-29,อื่นๆ,15000.0,MC,HONDA,SCOOPY I,2009,BA,20500,S1,2022-11-16,S1,PL,APPLICATION_COMPLETED,42,14
36,300000.0,300000.0,60,F,1978-03-08,เกษตรกร,20000.0,PU,ISUZU,D-MAX,2012,CJ,375500,S1,2022-12-12,S1,PL,APPLICATION_COMPLETED,45,11
37,3000.0,2121.44,12,M,1977-10-15,พนักงานบริษัท,25000.0,MC,YAMAHA,MIO 115,2005,AH,10000,S1,2022-07-18,S1,PL,APPLICATION_COMPLETED,46,18
39,19000.0,18079.94,36,F,1961-12-14,เกษตรกร,15000.0,MC,HONDA,MSX 125,2014,BB,26000,S1,2022-11-11,S1,PL,APPLICATION_COMPLETED,62,9
40,26300.0,26300.0,36,M,1971-08-16,STREET VENDOR,30000.0,CAR,HONDA,CITY,2000,DQ,92500,S1,2022-12-03,S1,PL,APPLICATION_COMPLETED,52,23
41,30700.0,30687.88,36,M,1990-06-06,พนักงานบริษัท,17500.0,MC,YAMAHA,M-SLAZ 150,2018,BF,41000,S1,2022-06-30,S1,PL,APPLICATION_COMPLETED,33,5
44,50000.0,47278.17,24,M,1962-02-01,STREET VENDOR,15000.0,MC,HONDA,PCX 150,2019,DN,72000,S1,2022-09-26,S1,PL,APPLICATION_COMPLETED,61,4
45,129000.0,129000.0,36,M,1982-12-13,พนักงานบริษัท,23000.0,CAR,HONDA,CIVIC,2005,AY,171500,S1,2022-08-25,S1,PL,APPLICATION_COMPLETED,41,18
46,22200.0,22200.0,18,M,1982-08-13,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 125I,2016,AV,29500,S1,2022-12-21,S1,PL,APPLICATION_COMPLETED,41,7
47,100000.0,93141.81,36,M,1980-01-12,STREET VENDOR,35000.0,CAR,TOYOTA,CAMRY,2004,AJ,184500,S1,2022-11-17,S1,PL,APPLICATION_COMPLETED,43,19
48,19500.0,19464.97,18,F,1975-02-16,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 125I,2014,AO,26000,S1,2022-09-22,S1,PL,APPLICATION_COMPLETED,48,9
50,33000.0,33000.0,24,F,1968-09-01,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2021,DM,44000,S1,2022-12-20,S1,PL,APPLICATION_COMPLETED,55,2
51,295000.0,295000.0,60,M,1991-05-16,อื่นๆ,17000.0,PU,TOYOTA,HILUX VIGO,2014,BS,368000,S1,2022-09-01,S1,PL,APPLICATION_COMPLETED,32,9
52,250000.0,247049.13,54,F,1977-02-01,เกษตรกร,20800.0,PU,ISUZU,D-MAX,2015,BN,434000,S1,2022-12-09,S1,PL,APPLICATION_COMPLETED,46,8
53,36000.0,36000.0,18,M,1987-12-05,พนักงานบริษัท,13000.0,MC,YAMAHA,MT 15,2018,BO,49000,S1,2022-11-18,S1,PL,APPLICATION_COMPLETED,36,5
55,16500.0,15309.15,36,M,1970-01-23,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2012,AX,22000,S1,2022-07-12,S1,PL,APPLICATION_COMPLETED,53,11
56,36500.0,36333.29,36,F,1973-12-29,STREET VENDOR,15000.0,MC,HONDA,CB 150,2018,AI,48500,S1,2022-08-26,S1,PL,APPLICATION_COMPLETED,50,5
57,25000.0,22976.08,12,F,1966-03-09,เกษตรกร,25000.0,MC,HONDA,SUPER CUB 110,2019,DA,38000,S1,2022-11-21,S1,PL,APPLICATION_COMPLETED,57,4
58,20000.0,16821.56,12,F,1983-11-23,อื่นๆ,10000.0,MC,HONDA,WAVE 125 I,2019,DR,38900,S1,2022-11-03,S1,PL,APPLICATION_COMPLETED,40,4
59,17700.0,16851.96,36,M,1979-04-26,อื่นๆ,15000.0,MC,YAMAHA,FINO (MLEKE),2010,AL,23500,S1,2022-11-04,S1,PL,APPLICATION_COMPLETED,44,13
60,136000.0,136000.0,60,M,1970-12-08,STREET VENDOR,30000.0,CAR,NISSAN,XTRAIL,2007,AR,210500,S1,2022-10-31,S1,PL,APPLICATION_COMPLETED,53,16
61,10000.0,7812.6,12,F,1996-08-20,พนักงานบริษัท,12000.0,MC,HONDA,SCOOPY I,2013,BH,19000,S1,2022-06-21,S1,PL,APPLICATION_COMPLETED,27,10
62,40000.0,37625.02,18,M,1992-12-19,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 150I,2021,AW,53500,S1,2022-10-30,S1,PL,APPLICATION_COMPLETED,31,2
63,40000.0,39966.31,36,F,1981-01-10,พนักงานบริษัท,25000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S1,2022-09-07,S1,PL,APPLICATION_COMPLETED,42,6
64,230000.0,218967.62,36,M,1988-06-05,อื่นๆ,25000.0,PU,TOYOTA,HILUX VIGO,2011,ER,286000,S1,2022-09-05,S1,PL,APPLICATION_COMPLETED,35,12
65,16300.0,16277.94,12,M,1961-10-02,อื่นๆ,10000.0,CAR,TOYOTA,COROLA,1996,CV,85000,S1,2022-09-13,S1,PL,APPLICATION_COMPLETED,62,27
66,90000.0,90000.0,60,F,1963-09-20,STREET VENDOR,20000.0,PU,TOYOTA,HILUX TIGER,2000,KU,152500,S1,2022-08-29,S1,PL,APPLICATION_COMPLETED,60,23
67,8000.0,7928.7,12,F,1998-05-19,อื่นๆ,9500.0,MC,HONDA,WAVE 100,2007,AI,20000,S1,2022-07-07,S1,PL,APPLICATION_COMPLETED,25,16
69,27000.0,26326.04,36,M,1988-05-25,พนักงานบริษัท,16000.0,MC,HONDA,DREAM 110,2016,CB,45000,S1,2022-07-06,S1,PL,APPLICATION_COMPLETED,35,7
71,15000.0,15000.0,24,F,1981-10-28,อื่นๆ,7000.0,MC,HONDA,SCOOPY I,2009,AQ,22000,S1,2022-12-27,S1,PL,APPLICATION_COMPLETED,42,14
73,46000.0,44974.06,36,M,1999-09-09,เกษตรกร,15000.0,MC,HONDA,PCX 150,2018,DD,64500,S1,2022-09-27,S1,PL,APPLICATION_COMPLETED,24,5
74,25000.0,25000.0,12,M,1973-10-27,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-12-12,S1,PL,APPLICATION_COMPLETED,50,4
75,30000.0,28799.0,24,F,1992-07-31,พนักงานบริษัท,15000.0,PU,TOYOTA,HILUX VIGO,2010,CL,187500,S1,2022-11-23,S1,PL,APPLICATION_COMPLETED,31,13
76,270000.0,267994.9,60,F,1962-02-27,อื่นๆ,32000.0,PU,TOYOTA,HILUX VIGO,2014,BS,368000,S1,2022-09-23,S1,PL,APPLICATION_COMPLETED,61,9
77,20000.0,17293.66,12,F,1967-05-02,เกษตรกร,7000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-09-19,S1,PL,APPLICATION_COMPLETED,56,4
78,165000.0,164295.29,60,M,1983-09-23,ข้าราชการ,20540.0,PU,TOYOTA,HILUX VIGO,2006,CI,237000,S1,2022-10-07,S1,PL,APPLICATION_COMPLETED,40,17
79,31000.0,29735.91,36,F,1973-05-28,อื่นๆ,8320.0,MC,HONDA,WAVE 110 I,2018,DG,42000,S1,2022-09-01,S1,PL,APPLICATION_COMPLETED,50,5
81,26000.0,24986.66,30,M,1965-09-09,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2016,CL,40000,S1,2022-09-26,S1,PL,APPLICATION_COMPLETED,58,7
82,150000.0,148551.04,60,M,1973-09-28,อื่นๆ,30000.0,PU,MAZDA,BT-50,2009,BR,267000,S1,2022-08-26,S1,PL,APPLICATION_COMPLETED,50,14
83,30000.0,28782.28,30,F,1970-11-22,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 110 I,2018,DG,42000,S1,2022-12-18,S1,PL,APPLICATION_COMPLETED,53,5
84,20000.0,20000.0,12,M,1970-04-07,STREET VENDOR,10000.0,PU,ISUZU,D-MAX,2011,CB,351500,S1,2022-12-26,S1,PL,APPLICATION_COMPLETED,53,12
85,88000.0,87438.45,60,M,1994-07-16,พนักงานบริษัท,16000.0,CAR,HONDA,CIVIC,2002,CE,137500,S1,2022-11-18,S1,PL,APPLICATION_COMPLETED,29,21
86,40000.0,27707.63,12,F,1989-04-02,อื่นๆ,9000.0,MC,HONDA,PCX 160,2022,BT,84000,S1,2022-09-01,S1,PL,APPLICATION_COMPLETED,34,1
87,180000.0,177837.87,60,M,1981-11-11,เกษตรกร,30000.0,CAR,HONDA,CITY,2010,AS,251500,S1,2022-12-06,S1,PL,APPLICATION_COMPLETED,42,13
88,105000.0,102234.04,48,F,1984-03-07,พนักงานบริษัท,10050.0,CAR,HONDA,JAZZ,2004,AI,140000,S1,2022-10-19,S1,PL,APPLICATION_COMPLETED,39,19
89,30000.0,22955.87,24,M,1963-01-26,อื่นๆ,15000.0,CAR,HONDA,CR-V,1998,BF,105500,S1,2022-07-27,S1,PL,APPLICATION_COMPLETED,60,25
91,40000.0,40000.0,24,F,1971-02-25,ข้าราชการ,7000.0,MC,YAMAHA,M-SLAZ 150,2016,AR,37000,S1,2022-11-17,S1,PL,APPLICATION_COMPLETED,52,7
92,18800.0,18800.0,24,F,1970-08-08,อื่นๆ,12000.0,MC,SUZUKI,SMASH 115,2015,AS,29000,S1,2022-12-24,S1,PL,APPLICATION_COMPLETED,53,8
93,193000.0,193000.0,60,F,1994-01-02,STREET VENDOR,15000.0,CAR,SUZUKI,CIAZ,2016,AH,275500,S1,2022-11-17,S1,PL,APPLICATION_COMPLETED,29,7
94,35000.0,31860.09,18,M,1971-03-27,พนักงานบริษัท,30000.0,MC,HONDA,CLICK 150I,2018,BE,47000,S1,2022-10-18,S1,PL,APPLICATION_COMPLETED,52,5
95,50000.0,48153.24,24,M,1979-04-07,พนักงานบริษัท,20000.0,PU,TOYOTA,HILUX VIGO,2007,CV,245000,S1,2022-12-01,S1,PL,APPLICATION_COMPLETED,44,16
96,31500.0,31469.43,36,F,1977-08-22,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,2022-08-04,S1,PL,APPLICATION_COMPLETED,46,4
98,220000.0,218709.73,60,M,1974-01-02,เกษตรกร,20000.0,PU,ISUZU,D-MAX,2014,CR,531000,S1,2022-08-26,S1,PL,APPLICATION_COMPLETED,49,9
100,154000.0,153992.84,36,F,1971-07-21,อื่นๆ,30000.0,PU,ISUZU,D-MAX,2003,AO,191500,S1,2022-08-29,S1,PL,APPLICATION_COMPLETED,52,20
102,200000.0,200000.0,60,F,1972-12-21,ข้าราชการ,36000.0,PU,ISUZU,D-MAX,2007,CO,309500,S1,2022-12-27,S1,PL,APPLICATION_COMPLETED,51,16
103,20000.0,18482.01,24,M,1998-02-09,อื่นๆ,15000.0,MC,YAMAHA,QBIX 125 S,2018,BX,36500,S1,2022-11-15,S1,PL,APPLICATION_COMPLETED,25,5
104,135500.0,135500.0,48,F,1959-11-01,STREET VENDOR,15000.0,CAR,NISSAN,MARCH,2017,AK,208500,S1,2022-11-03,S1,PL,APPLICATION_COMPLETED,64,6
105,39700.0,39700.0,36,M,1989-12-19,อื่นๆ,15000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S1,2022-12-31,S1,PL,APPLICATION_COMPLETED,34,6
106,18000.0,17695.93,36,F,1975-07-03,STREET VENDOR,9000.0,MC,HONDA,SCOOPY I,2013,BG,24000,S1,2022-07-27,S1,PL,APPLICATION_COMPLETED,48,10
107,80000.0,78882.2,48,F,1987-06-30,พนักงานบริษัท,15000.0,CAR,HONDA,CITY,2003,AI,118500,S1,2022-11-08,S1,PL,APPLICATION_COMPLETED,36,20
108,130000.0,130000.0,60,M,1966-09-30,เกษตรกร,15000.0,PU,MITSUBISHI,TRITON,2007,BF,205000,S1,2022-11-15,S1,PL,APPLICATION_COMPLETED,57,16
109,8000.0,7759.89,18,F,1980-08-26,อาจารย์,20280.0,MC,HONDA,CLICK 110,2008,AB,14000,S1,2022-10-15,S1,PL,APPLICATION_COMPLETED,43,15
110,31500.0,31495.35,36,M,1978-11-03,อื่นๆ,20000.0,MC,HONDA,CLICK 125I,2019,BD,42000,S1,2022-08-09,S1,PL,APPLICATION_COMPLETED,45,4
111,33000.0,32926.1,24,M,1975-12-15,พนักงานบริษัท,20000.0,MC,YAMAHA,AEROX 155,2018,AB,44000,S1,2022-11-21,S1,PL,APPLICATION_COMPLETED,48,5
112,24000.0,24000.0,36,M,1988-11-01,อื่นๆ,20000.0,MC,HONDA,WAVE 125 I,2017,CP,32500,S1,2022-12-06,S1,PL,APPLICATION_COMPLETED,35,6
114,40000.0,37930.36,24,F,2001-07-19,เกษตรกร,20000.0,MC,KAWASAKI,ER6N 650,2012,AF,81000,S1,2022-09-09,S1,PL,APPLICATION_COMPLETED,22,11
116,33000.0,32964.99,30,M,1980-05-29,อื่นๆ,24000.0,MC,HONDA,WAVE 110 I,2020,EI,45000,S1,2022-08-27,S1,PL,APPLICATION_COMPLETED,43,3
117,15000.0,14828.28,24,M,1992-09-01,พนักงานบริษัท,15000.0,MC,HONDA,SCOOPY I,2009,BA,20500,S1,2022-09-10,S1,PL,APPLICATION_COMPLETED,31,14
118,28500.0,27192.47,24,F,1964-09-19,อื่นๆ,13000.0,MC,HONDA,WAVE 110 I,2012,BF,38000,S1,2022-12-13,S1,PL,APPLICATION_COMPLETED,59,11
119,198000.0,197944.65,60,F,1980-06-13,อื่นๆ,17000.0,CAR,TOYOTA,COROLLA ALTIS,2012,ER,305000,S1,2022-07-26,S1,PL,APPLICATION_COMPLETED,43,11
120,30000.0,28513.43,36,F,1973-12-25,เกษตรกร,20000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,2022-09-12,S1,PL,APPLICATION_COMPLETED,50,5
121,170000.0,170000.0,48,M,1986-04-22,อื่นๆ,15000.0,PU,MITSUBISHI,TRITON,2013,AY,346000,S1,2022-12-03,S1,PL,APPLICATION_COMPLETED,37,10
122,81000.0,81000.0,60,M,1976-11-29,STREET VENDOR,20000.0,CAR,HONDA,CITY,2003,AC,108500,S1,2022-09-06,S1,PL,APPLICATION_COMPLETED,47,20
124,186200.0,186200.0,60,M,1979-12-06,พนักงานรัฐวิสาหกิจ,22500.0,PU,NISSAN,NP300,2014,CP,286500,S1,2022-09-16,S1,PL,APPLICATION_COMPLETED,44,9
125,20000.0,18860.27,24,M,1981-07-07,พนักงานบริษัท,16500.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-09-23,S1,PL,APPLICATION_COMPLETED,42,4
126,7600.0,4757.49,12,F,1970-08-03,เกษตรกร,15000.0,MC,HONDA,WAVE 125,2006,AL,25500,S1,2022-06-29,S1,PL,APPLICATION_COMPLETED,53,17
127,155000.0,154961.5,60,M,1976-09-18,พนักงานบริษัท,20000.0,PU,ISUZU,D-MAX,2003,AI,190500,S1,2022-09-02,S1,PL,APPLICATION_COMPLETED,47,20
128,100000.0,100000.0,48,F,1962-12-22,STREET VENDOR,12000.0,CAR,HONDA,JAZZ,2004,AI,140000,S1,2022-10-15,S1,PL,APPLICATION_COMPLETED,61,19
130,20000.0,20000.0,36,F,1984-04-08,STREET VENDOR,15000.0,MC,YAMAHA,GRAND FILANO 125,2018,AS,38500,S1,2022-12-29,S1,PL,APPLICATION_COMPLETED,39,5
131,28500.0,28500.0,36,F,1990-03-08,พนักงานรัฐวิสาหกิจ,18000.0,MC,HONDA,SCOOPY I,2020,DB,38000,S1,2022-12-27,S1,PL,APPLICATION_COMPLETED,33,3
132,30000.0,29235.2,24,M,1970-01-22,เกษตรกร,10000.0,MC,HONDA,WAVE 110 I,2017,CT,41000,S1,2022-10-26,S1,PL,APPLICATION_COMPLETED,53,6
133,21500.0,20673.48,36,F,1972-03-24,อื่นๆ,15000.0,MC,HONDA,WAVE 125 X,2007,AX,29000,S1,2022-09-21,S1,PL,APPLICATION_COMPLETED,51,16
134,110000.0,110000.0,60,F,1971-05-28,STREET VENDOR,13000.0,CAR,MITSUBISHI,MIRAGE,2012,BF,180000,S1,2022-12-14,S1,PL,APPLICATION_COMPLETED,52,11
135,29800.0,29800.0,36,F,1970-03-18,อื่นๆ,9000.0,MC,HONDA,MSX 125,2019,BY,39500,S1,2022-12-26,S1,PL,APPLICATION_COMPLETED,53,4
136,26000.0,25019.36,36,F,1982-06-25,พนักงานบริษัท,21000.0,MC,HONDA,WAVE 110 I,2014,CH,35000,S1,2022-10-21,S1,PL,APPLICATION_COMPLETED,41,9
137,26000.0,26000.0,24,M,1990-06-03,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S1,2022-12-07,S1,PL,APPLICATION_COMPLETED,33,10
138,9000.0,9000.0,12,F,1979-05-25,พนักงานบริษัท,12000.0,MC,YAMAHA,MIO 125,2010,AE,12500,S1,2022-12-28,S1,PL,APPLICATION_COMPLETED,44,13
139,28500.0,28500.0,36,F,1990-03-08,พนักงานรัฐวิสาหกิจ,18000.0,MC,HONDA,SCOOPY I,2020,DB,38000,S1,2022-12-27,S1,PL,APPLICATION_COMPLETED,33,3
140,190000.0,189434.5,60,M,1981-11-04,อื่นๆ,20210.0,CAR,TOYOTA,VIOS,2013,DV,253500,S1,2022-10-05,S1,PL,APPLICATION_COMPLETED,42,10
141,144600.0,141170.39,48,M,1985-06-19,พนักงานบริษัท,20000.0,CAR,NISSAN,ALMERA,2013,BL,222500,S1,2022-08-03,S1,PL,APPLICATION_COMPLETED,38,10
