,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,DOB,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,Application Status,age,Vehicle Age
446,29000.0,29000.0,36,M,1989-11-10,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2016,CI,39000,S1,2022-11-14,S1,PL,APPLICATION_COMPLETED,34,7
447,24000.0,23767.51,24,F,1997-03-08,พนักงานบริษัท,10000.0,MC,HONDA,SCOOPY I,2017,CA,32000,S1,2022-10-07,S1,PL,APPLICATION_COMPLETED,26,6
448,235000.0,235000.0,60,F,1980-03-11,พนักงานบริษัท,20000.0,PU,TOYOTA,HILUX VIGO,2009,FG,292000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,43,14
449,129000.0,128112.14,108,M,1998-04-21,STREET VENDOR,30000.0,CAR,HONDA,CIVIC,2005,AY,171500,S2,2022-11-12,S2,PL,APPLICATION_COMPLETED,25,18
450,24000.0,23722.59,12,M,1997-12-19,พนักงานบริษัท,20000.0,MC,HONDA,SCOOPY I,2018,AO,45000,S1,2022-10-25,S1,PL,APPLICATION_COMPLETED,26,5
451,200000.0,197486.11,60,M,1967-12-20,เกษตรกร,20000.0,PU,MAZDA,BT-50PRO,2013,AP,316000,S1,2022-07-18,S1,PL,APPLICATION_COMPLETED,56,10
452,30000.0,29024.44,24,M,1982-06-27,พนักงานบริษัท,25000.0,MC,HONDA,WAVE 110 I,2017,CR,40000,S1,2022-10-08,S1,PL,APPLICATION_COMPLETED,41,6
453,35000.0,34999.82,36,M,1985-10-17,อื่นๆ,21900.0,MC,HONDA,CB 150,2017,AI,47500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,38,6
454,36000.0,36000.0,36,M,1989-08-23,พนักงานบริษัท,23000.0,MC,HONDA,CLICK 150I,2019,BH,48500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,34,4
455,25000.0,23322.17,30,F,1968-10-03,เกษตรกร,10000.0,MC,YAMAHA,FINN 115I,2022,AH,39000,S1,2022-08-29,S1,PL,APPLICATION_COMPLETED,55,1
456,26300.0,25077.97,36,F,1986-03-28,อื่นๆ,10000.0,MC,HONDA,DREAM 110,2011,AF,35000,S1,2022-10-27,S1,PL,APPLICATION_COMPLETED,37,12
457,27000.0,26353.4,36,F,1999-08-15,พนักงานบริษัท,15000.0,MC,HONDA,SCOOPY I,2019,CN,37000,S1,2022-09-19,S1,PL,APPLICATION_COMPLETED,24,4
459,26000.0,21697.43,18,F,1986-07-05,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2016,CM,40000,S1,2022-06-30,S1,PL,APPLICATION_COMPLETED,37,7
460,26400.0,26400.0,24,F,1985-12-27,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S1,2022-10-21,S1,PL,APPLICATION_COMPLETED,38,10
461,27000.0,26085.38,24,F,1995-10-10,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2014,CJ,36000,S2,2023-01-12,S1,PL,APPLICATION_COMPLETED,28,9
462,30000.0,29753.22,36,M,1982-11-04,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2017,CT,41000,S1,2022-09-16,S1,PL,APPLICATION_COMPLETED,41,6
463,240000.0,238676.22,60,F,1983-01-30,ข้าราชการ,22230.0,PU,TOYOTA,HILUX VIGO,2009,EW,308000,S1,2022-11-09,S2,PL,APPLICATION_COMPLETED,40,14
464,16453.79,15942.01,60,M,1986-11-03,อื่นๆ,23300.0,MC,GPX,DEMON 150,2017,AB,25500,S2,2022-11-03,S2,PL,APPLICATION_COMPLETED,37,6
465,247600.0,247600.0,60,F,1978-09-14,พนักงานบริษัท,16172.0,PU,ISUZU,D-MAX,2007,CO,309500,S1,2022-08-20,S1,PL,APPLICATION_COMPLETED,45,16
466,29000.0,26590.04,36,M,1999-11-29,ข้าราชการ,7000.0,MC,HONDA,WAVE 125 I,2019,DR,38900,S1,2023-01-10,S2,PL,APPLICATION_COMPLETED,24,4
467,100000.0,100000.0,60,M,1985-02-08,เกษตรกร,30000.0,PU,TOYOTA,HILUX TIGER,2001,JJ,170000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,38,22
468,25000.0,25000.0,36,M,1999-01-06,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2015,CK,37000,S2,2022-12-30,S1,PL,APPLICATION_COMPLETED,24,8
469,85000.0,84594.45,60,M,1990-05-31,ข้าราชการ,16290.0,CAR,TOYOTA,VIOS,2005,EH,131000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,33,18
470,31600.0,31600.0,36,F,1996-08-14,STREET VENDOR,12000.0,MC,HONDA,WAVE 110 I,2017,CV,42000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,27,6
471,31000.0,31000.0,24,F,1997-10-15,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 110 I,2017,CU,42000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,26,6
472,9000.0,8173.46,24,M,2000-10-11,อื่นๆ,12000.0,MC,BENELLI,TNT 25,2017,AB,31000,S1,2023-01-08,S2,PL,APPLICATION_COMPLETED,23,6
473,300000.0,300000.0,60,M,1996-08-22,อื่นๆ,20000.0,PU,ISUZU,D-MAX,2014,BK,410000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,27,9
474,34800.0,34800.0,12,F,1986-08-24,STREET VENDOR,15000.0,MC,HONDA,SCOOPY I,2020,CX,46500,S2,2022-12-30,S1,PL,APPLICATION_COMPLETED,37,3
475,170000.0,170000.0,60,M,1988-02-20,พนักงานบริษัท,14000.0,PU,ISUZU,D-MAX,2005,CE,217000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,35,18
476,23700.0,23700.0,30,F,1986-10-23,อื่นๆ,17000.0,CAR,CHEVROLET,AVEO,2006,CV,79000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,37,17
477,130000.0,130000.0,60,M,1976-10-18,เกษตรกร,18000.0,PU,TOYOTA,HILUX TIGER,2003,CQ,198000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,47,20
478,100000.0,100000.0,36,F,1991-05-13,อื่นๆ,22000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,32,4
479,4500.0,4500.0,12,M,1984-01-14,STREET VENDOR,15000.0,MC,HONDA,WAVE 100,2004,AB,15000,S2,2022-12-25,S1,PL,APPLICATION_COMPLETED,39,19
480,33000.0,33000.0,36,F,1981-07-07,STREET VENDOR,20000.0,MC,HONDA,WAVE 110 I,2020,EG,44000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,42,3
481,23000.0,22573.56,24,M,1980-11-30,พนักงานบริษัท,16000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-19,S1,PL,APPLICATION_COMPLETED,43,11
482,22500.0,22500.0,36,M,1982-08-16,อื่นๆ,20000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,41,11
483,20000.0,20000.0,36,F,1980-06-16,พนักงานบริษัท,16000.0,MC,YAMAHA,GRAND FILANO 125,2014,AM,27500,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,43,9
484,23400.0,23400.0,18,M,1963-10-05,อาจารย์,25000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-25,S1,PL,APPLICATION_COMPLETED,60,11
486,10000.0,10000.0,12,M,1991-09-27,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2018,DG,42000,S2,2022-12-30,S1,PL,APPLICATION_COMPLETED,32,5
487,31500.0,31500.0,36,F,1978-03-15,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2017,CV,42000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,45,6
488,13000.0,12496.56,18,M,1983-10-20,STREET VENDOR,25000.0,MC,HONDA,MSX 125,2016,BF,27000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,40,7
491,10500.0,9403.52,24,M,1978-02-09,STREET VENDOR,20000.0,MC,YAMAHA,MIO 125,2012,AJ,14000,S2,2022-12-30,S1,PL,APPLICATION_COMPLETED,45,11
492,35000.0,34511.4,30,F,1993-09-14,เกษตรกร,15000.0,MC,KAWASAKI,NINJA 650,2009,AA,76000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,30,14
493,30000.0,30000.0,36,M,1989-09-22,พนักงานบริษัท,13000.0,MC,HONDA,WAVE 110 I,2017,CR,40000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,34,6
494,300000.0,300000.0,60,F,1991-04-19,STREET VENDOR,30000.0,PU,ISUZU,D-MAX,2012,BU,392500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,32,11
495,27000.0,27000.0,36,F,1968-10-21,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,55,11
496,31500.0,30637.11,36,F,1985-12-07,STREET VENDOR,15000.0,MC,HONDA,DREAM 110,2014,CA,42000,S2,2022-12-30,S1,PL,APPLICATION_COMPLETED,38,9
497,15800.0,14506.16,18,F,1985-08-26,อื่นๆ,21000.0,MC,HONDA,SCOOPY I,2010,AS,23000,S2,2022-11-09,S1,PL,APPLICATION_COMPLETED,38,13
498,31000.0,31000.0,24,F,1997-10-15,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 110 I,2017,CU,42000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,26,6
499,15700.0,15594.86,36,F,1968-05-25,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,55,12
500,12000.0,12000.0,18,F,1992-07-04,พนักงานบริษัท,15000.0,MC,HONDA,CLICK 110I,2008,AW,16000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,31,15
501,33000.0,33000.0,36,F,1995-03-18,STREET VENDOR,9000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,28,4
502,27000.0,26768.36,36,F,1982-09-13,พนักงานบริษัท,16600.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,41,11
503,270000.0,270000.0,60,M,1984-08-18,อื่นๆ,25000.0,PU,MITSUBISHI,TRITON,2015,AD,474500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,39,8
504,130000.0,130000.0,60,F,1986-12-09,STREET VENDOR,35000.0,PU,FORD,RANGER,2007,BU,212000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,37,16
505,300000.0,300000.0,60,M,1983-10-13,พนักงานบริษัท,15000.0,PU,ISUZU,D-MAX,2019,DB,552000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,40,4
506,19000.0,19000.0,18,F,1993-09-15,STREET VENDOR,30000.0,MC,YAMAHA,FINO (MLEKE),2013,AE,25500,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,30,10
509,32000.0,31571.58,30,M,1968-12-13,STREET VENDOR,20000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,55,6
510,15800.0,14506.16,18,F,1985-08-26,อื่นๆ,21000.0,MC,HONDA,SCOOPY I,2010,AS,23000,S2,2022-11-09,S1,PL,APPLICATION_COMPLETED,38,13
511,32000.0,31917.38,36,F,1966-06-20,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2018,DI,43000,S1,2023-01-06,S2,PL,APPLICATION_COMPLETED,57,5
512,32000.0,27432.16,18,F,1983-10-06,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2019,DS,43000,S1,2023-01-12,S2,PL,APPLICATION_COMPLETED,40,4
513,40000.0,39999.71,36,F,1994-06-06,STREET VENDOR,25000.0,CAR,MITSUBISHI,LANCER,2002,AC,105000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,29,21
514,130000.0,130000.0,60,M,1976-10-18,เกษตรกร,18000.0,PU,TOYOTA,HILUX TIGER,2003,CQ,198000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,47,20
516,36500.0,36500.0,36,F,1990-08-02,STREET VENDOR,20000.0,MC,HONDA,PCX 150,2014,CE,48500,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,33,9
518,270000.0,270000.0,60,M,1984-08-18,อื่นๆ,25000.0,PU,MITSUBISHI,TRITON,2015,AD,474500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,39,8
520,30000.0,28242.83,24,M,1984-07-12,อื่นๆ,9000.0,MC,HONDA,WAVE 110 I,2017,CR,40000,S1,2023-01-04,S2,PL,APPLICATION_COMPLETED,39,6
521,31500.0,30164.97,18,M,1986-12-18,อื่นๆ,36000.0,MC,HONDA,CLICK 125I,2019,BD,42000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,37,4
522,24300.0,24298.95,36,M,1990-10-26,อื่นๆ,15000.0,CAR,CHEVROLET,AVEO,2007,AE,81000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,33,16
523,13200.0,12286.79,24,M,1987-12-17,อื่นๆ,20000.0,MC,HONDA,CLICK 110I,2011,AE,17500,S1,2023-01-16,S2,PL,APPLICATION_COMPLETED,36,12
524,30000.0,29578.15,36,M,1967-04-22,เกษตรกร,20000.0,MC,HONDA,WAVE 110 I,2017,CR,40000,S1,2023-01-08,S2,PL,APPLICATION_COMPLETED,56,6
525,30000.0,28870.45,18,F,1999-06-06,เกษตรกร,12000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,24,4
526,33000.0,31166.89,30,F,1992-03-02,STREET VENDOR,17000.0,MC,HONDA,DREAM 110,2015,CC,44000,S2,2022-10-15,S1,PL,APPLICATION_COMPLETED,31,8
527,12000.0,12000.0,12,M,1983-07-01,พนักงานบริษัท,35000.0,CAR,TOYOTA,INNOVA,2009,AV,276500,S2,2022-12-30,S1,PL,APPLICATION_COMPLETED,40,14
528,8500.0,8500.0,12,F,1983-12-05,พนักงานบริษัท,12000.0,MC,HONDA,CLICK 110I,2008,AU,17000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,40,15
530,244000.0,244000.0,60,F,1975-06-16,STREET VENDOR,30000.0,PU,ISUZU,D-MAX,2007,CO,309500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,48,16
532,50000.0,31971.48,12,M,1976-02-19,เกษตรกร,30000.0,PU,MITSUBISHI,TRITON,2013,BD,338000,S1,2023-01-05,S2,PL,APPLICATION_COMPLETED,47,10
533,12500.0,12250.84,24,F,1987-03-25,พนักงานบริษัท,12000.0,MC,HONDA,CLICK 110I,2008,AU,17000,S1,2023-01-11,S2,PL,APPLICATION_COMPLETED,36,15
534,80000.0,80000.0,36,F,1997-03-03,STREET VENDOR,20000.0,MC,HONDA,CBR 650,2013,AH,137500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,26,10
535,26000.0,26000.0,36,F,1965-11-06,STREET VENDOR,18500.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,58,11
536,24000.0,24000.0,36,F,1977-05-21,เกษตรกร,10000.0,MC,HONDA,WAVE 110 I,2014,CI,36000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,46,9
537,29000.0,29000.0,36,F,1995-06-04,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 125I,2018,BA,39000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,28,5
538,17000.0,16811.85,18,F,1997-03-06,STREET VENDOR,10000.0,MC,HONDA,SCOOPY I,2012,BT,28000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,26,11
539,27000.0,26768.36,36,F,1982-09-13,พนักงานบริษัท,16600.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,41,11
540,150000.0,150000.0,60,F,1992-11-01,อื่นๆ,15000.0,PU,TOYOTA,HILUX TIGER,2004,BT,193000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,31,19
541,10000.0,9952.06,12,M,1993-08-09,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2019,DS,43000,S1,2023-01-11,S2,PL,APPLICATION_COMPLETED,30,4
542,26000.0,25853.98,36,F,1994-11-05,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,29,10
543,169000.0,169000.0,60,F,1992-03-02,พนักงานรัฐวิสาหกิจ,13285.0,PU,TOYOTA,HILUX VIGO,2011,ES,241500,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,31,12
544,33000.0,33000.0,36,M,1971-02-14,STREET VENDOR,13000.0,MC,YAMAHA,N-MAX 155,2018,DA,51000,S2,2022-12-30,S1,PL,APPLICATION_COMPLETED,52,5
545,95000.0,95000.0,36,M,1975-12-09,อื่นๆ,14000.0,CAR,TOYOTA,VIOS,2006,AD,147500,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,48,17
546,26000.0,24712.71,36,F,1983-01-01,ข้าราชการ,30000.0,MC,HONDA,DREAM 110,2011,AF,35000,S1,2023-01-04,S2,PL,APPLICATION_COMPLETED,40,12
548,270000.0,270000.0,60,M,1984-08-18,อื่นๆ,25000.0,PU,MITSUBISHI,TRITON,2015,AD,474500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,39,8
549,28300.0,28222.83,24,M,1985-03-17,STREET VENDOR,20000.0,CAR,HONDA,CIVIC,1996,AJ,105000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,38,27
550,18000.0,17635.95,24,M,1987-01-13,พนักงานบริษัท,22000.0,MC,HONDA,SCOOPY I,2014,BA,30000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,36,9
552,200000.0,200000.0,60,F,1971-01-24,STREET VENDOR,20000.0,PU,TOYOTA,HILUX VIGO,2011,EN,313000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,52,12
553,140000.0,140000.0,60,M,1986-04-26,อื่นๆ,15000.0,PU,MITSUBISHI,TRITON,2011,BF,258000,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,37,12
554,310000.0,310000.0,60,M,1985-12-12,อื่นๆ,25000.0,VAN,TOYOTA,COMMUTER,2010,ET,482000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,38,13
555,169000.0,169000.0,60,F,1992-03-02,พนักงานรัฐวิสาหกิจ,13285.0,PU,TOYOTA,HILUX VIGO,2011,ES,241500,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,31,12
556,28000.0,27804.3,36,M,1994-07-01,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,29,4
557,11000.0,11000.0,24,F,1984-07-29,อื่นๆ,15000.0,MC,YAMAHA,FINO (4DO),2009,AA,17000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,39,14
558,134000.0,133517.83,60,F,1990-08-13,พนักงานบริษัท,15000.0,CAR,HONDA,CIVIC,2007,AS,207500,S2,2022-11-29,S1,PL,APPLICATION_COMPLETED,33,16
559,33000.0,33000.0,36,F,1981-07-07,STREET VENDOR,20000.0,MC,HONDA,WAVE 110 I,2020,EG,44000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,42,3
560,228000.0,226690.96,60,M,1996-05-07,พนักงานบริษัท,15000.0,CAR,HONDA,CITY,2012,BS,302000,S2,2022-11-09,S1,PL,APPLICATION_COMPLETED,27,11
561,279000.0,279000.0,60,M,1982-09-29,พนักงานบริษัท,30000.0,PU,TOYOTA,HILUX VIGO,2012,GT,347500,S2,2022-12-19,S1,PL,APPLICATION_COMPLETED,41,11
562,31200.0,31141.63,18,M,1981-11-13,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,42,4
563,10000.0,9900.47,36,M,1992-03-03,อื่นๆ,12000.0,MC,HONDA,CLICK 110I,2010,AC,18000,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,31,13
564,33700.0,33700.0,36,M,1964-06-10,อื่นๆ,13000.0,MC,HONDA,DREAM 110,2016,CB,45000,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,59,7
565,15500.0,14351.55,24,M,1972-04-20,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S1,2023-01-10,S2,PL,APPLICATION_COMPLETED,51,12
566,32000.0,31571.58,30,M,1968-12-13,STREET VENDOR,20000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S2,2022-12-22,S1,PL,APPLICATION_COMPLETED,55,6
567,20000.0,20000.0,36,M,1994-10-04,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 125,2010,BF,30500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,29,13
568,16500.0,16500.0,18,F,1980-03-30,อื่นๆ,19000.0,MC,HONDA,SCOOPY I,2011,AR,24000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,43,12
569,80000.0,80000.0,36,M,1984-03-11,อาจารย์,21000.0,CAR,MITSUBISHI,LANCER,2007,AC,148500,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,39,16
570,14500.0,14500.0,12,M,1976-02-01,อื่นๆ,20000.0,MC,HONDA,ZOOMER X 110I,2013,BF,19500,S2,2022-12-15,S1,PL,APPLICATION_COMPLETED,47,10
571,94900.0,94900.0,42,F,1979-01-28,STREET VENDOR,20000.0,MC,YAMAHA,FINO (MLEKE),2009,AH,23000,S2,2022-12-19,S1,PL,APPLICATION_COMPLETED,44,14
572,18000.0,18000.0,24,F,1986-08-06,อื่นๆ,9000.0,MC,HONDA,SCOOPY I,2016,CP,32000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,37,7
573,300000.0,300000.0,60,M,1983-10-13,พนักงานบริษัท,15000.0,PU,ISUZU,D-MAX,2019,DB,552000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,40,4
574,38500.0,38500.0,36,M,1971-02-14,STREET VENDOR,13000.0,MC,YAMAHA,N-MAX 155,2018,DA,51000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,52,5
